,transaction_id,procedure_id,trans_group_id,trans_group_ar,trans_group_en,procedure_name_ar,procedure_name_en,instance_date,property_type_id,property_type_ar,property_type_en,property_sub_type_id,property_sub_type_ar,property_sub_type_en,property_usage_ar,property_usage_en,reg_type_id,reg_type_ar,reg_type_en,area_id,area_name_ar,area_name_en,building_name_ar,building_name_en,project_number,project_name_ar,project_name_en,master_project_en,master_project_ar,nearest_landmark_ar,nearest_landmark_en,nearest_metro_ar,nearest_metro_en,nearest_mall_ar,nearest_mall_en,rooms_ar,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,rent_value,meter_rent_price,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3
383,1-41-2022-6018,41,1,مبايعات,Sales,بيع مبدئى,Delayed Sell,05-04-2022,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,482,حدائق الشيخ محمد بن راشد,Hadaeq Sheikh Mohammed Bin Rashid,بارك ريدج تاور سي,PARK RIDGE TOWER C,1937.0,بارك ريدج,PARK RIDGE,DUBAI HILLS - PARK,دبي هيليز - بارك,برج العرب,Burj Al Arab,محطة مترو بنك أبوظبي الأول,First Abu Dhabi Bank Metro Station,مول الإمارات,Mall of the Emirates,غرفتين,2 B/R,1,91.74,1700000.0,18530.63,,,1.0,1.0,0.0
424,1-11-2022-24007,11,1,مبايعات,Sales,بيع,Sell,03-10-2022,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,482,حدائق الشيخ محمد بن راشد,Hadaeq Sheikh Mohammed Bin Rashid,بارك ريدج تاور سي,PARK RIDGE TOWER C,1937.0,بارك ريدج,PARK RIDGE,DUBAI HILLS - PARK,دبي هيليز - بارك,برج العرب,Burj Al Arab,محطة مترو بنك أبوظبي الأول,First Abu Dhabi Bank Metro Station,مول الإمارات,Mall of the Emirates,غرفتين,2 B/R,1,92.41,1700000.0,18396.28,,,1.0,1.0,0.0
546,1-102-2017-25775,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,27-12-2017,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,482,حدائق الشيخ محمد بن راشد,Hadaeq Sheikh Mohammed Bin Rashid,بارك ريدج تاور سي,PARK RIDGE TOWER C,1937.0,بارك ريدج,PARK RIDGE,DUBAI HILLS - PARK,دبي هيليز - بارك,برج العرب,Burj Al Arab,محطة مترو بنك أبوظبي الأول,First Abu Dhabi Bank Metro Station,مول الإمارات,Mall of the Emirates,غرفتين,2 B/R,1,92.51,1358888.0,14689.09,,,1.0,2.0,0.0
775,1-102-2015-233,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,07-01-2015,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,482,حدائق الشيخ محمد بن راشد,Hadaeq Sheikh Mohammed Bin Rashid,ملبيري آت بارك هايتس مبنى B1,MULBERRY at PARK HEIGHTS Building B1,1489.0,مولبيري في بارك هايتس ,MULBERRY at PARK HEIGHTS,DUBAI HILLS - PARK,دبي هيليز - بارك,موتور سيتي,Motor City,محطة مترو بنك أبوظبي الأول,First Abu Dhabi Bank Metro Station,مول الإمارات,Mall of the Emirates,غرفتين,2 B/R,1,126.21,1715888.0,13595.5,,,1.0,1.0,0.0
1044,1-41-2019-5109,41,1,مبايعات,Sales,بيع مبدئى,Delayed Sell,09-12-2019,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,482,حدائق الشيخ محمد بن راشد,Hadaeq Sheikh Mohammed Bin Rashid,ملبيري آت بارك هايتس مبنى A2,MULBERRY at PARK HEIGHTS Building A2,1489.0,مولبيري في بارك هايتس ,MULBERRY at PARK HEIGHTS,DUBAI HILLS - PARK,دبي هيليز - بارك,موتور سيتي,Motor City,محطة مترو بنك أبوظبي الأول,First Abu Dhabi Bank Metro Station,مول الإمارات,Mall of the Emirates,ثلاث غرف,3 B/R,1,182.46,2510744.0,13760.52,,,1.0,1.0,0.0
1234,1-102-2014-16828,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,29-12-2014,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,482,حدائق الشيخ محمد بن راشد,Hadaeq Sheikh Mohammed Bin Rashid,ملبيري II آت بارك هايتس B1,MULBERRY II at PARK HEIGHTS Building B1,1489.0,مولبيري في بارك هايتس ,MULBERRY at PARK HEIGHTS,DUBAI HILLS - PARK,دبي هيليز - بارك,برج العرب,Burj Al Arab,محطة مترو بنك أبوظبي الأول,First Abu Dhabi Bank Metro Station,مول الإمارات,Mall of the Emirates,غرفتين,2 B/R,1,121.84,1811888.0,14871.04,,,1.0,1.0,0.0
1285,1-102-2022-37440,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,14-11-2022,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,482,حدائق الشيخ محمد بن راشد,Hadaeq Sheikh Mohammed Bin Rashid,بارك فيلد البرج 2,Park Field Tower 2,2404.0,بارك فيلد,Park Field,DUBAI HILLS - PARK,دبي هيليز - بارك,موتور سيتي,Motor City,محطة مترو بنك أبوظبي الأول,First Abu Dhabi Bank Metro Station,مول الإمارات,Mall of the Emirates,غرفتين,2 B/R,1,95.86,1875888.0,19569.04,,,1.0,1.0,0.0
1291,1-11-2021-22079,11,1,مبايعات,Sales,بيع,Sell,09-12-2021,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,482,حدائق الشيخ محمد بن راشد,Hadaeq Sheikh Mohammed Bin Rashid,ملبيري II آت بارك هايتس B1,MULBERRY II at PARK HEIGHTS Building B1,1489.0,مولبيري في بارك هايتس ,MULBERRY at PARK HEIGHTS,DUBAI HILLS - PARK,دبي هيليز - بارك,برج العرب,Burj Al Arab,محطة مترو بنك أبوظبي الأول,First Abu Dhabi Bank Metro Station,مول الإمارات,Mall of the Emirates,غرفتين,2 B/R,1,6.09,75000.0,12315.27,,,1.0,1.0,0.0
1813,1-102-2014-14445,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,17-11-2014,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,482,حدائق الشيخ محمد بن راشد,Hadaeq Sheikh Mohammed Bin Rashid,ملبيري آت بارك هايتس مبنى B1,MULBERRY at PARK HEIGHTS Building B1,1489.0,مولبيري في بارك هايتس ,MULBERRY at PARK HEIGHTS,DUBAI HILLS - PARK,دبي هيليز - بارك,موتور سيتي,Motor City,محطة مترو بنك أبوظبي الأول,First Abu Dhabi Bank Metro Station,مول الإمارات,Mall of the Emirates,غرفتين,2 B/R,1,121.83,1802888.0,14798.39,,,1.0,1.0,0.0
1990,2-13-2023-746,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,16-01-2023,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,482,حدائق الشيخ محمد بن راشد,Hadaeq Sheikh Mohammed Bin Rashid,ملبيري آت بارك هايتس مبنى B1,MULBERRY at PARK HEIGHTS Building B1,1489.0,مولبيري في بارك هايتس ,MULBERRY at PARK HEIGHTS,DUBAI HILLS - PARK,دبي هيليز - بارك,موتور سيتي,Motor City,محطة مترو بنك أبوظبي الأول,First Abu Dhabi Bank Metro Station,مول الإمارات,Mall of the Emirates,غرفتين,2 B/R,1,126.46,1283250.0,10147.48,,,1.0,1.0,0.0
